time,date,cut,DAP,GDD,CP,DAP_scaled
321,04-28-2020,Spring 2020,2,0,388,0
325,05-02-2020,Spring 2020,6,7,815,0.137931034482759
328,05-05-2020,Spring 2020,9,17,830,0.241379310344828
336,05-13-2020,Spring 2020,17,17,944,0.517241379310345
343,05-20-2020,Spring 2020,24,54,1192,0.758620689655172
350,05-27-2020,Spring 2020,31,166,1256,1
373,06-19-2020,Summer 2020,22,306,277,0
376,06-22-2020,Summer 2020,25,375,351,0.1875
383,06-29-2020,Summer 2020,32,505,665,0.625
389,07-05-2020,Summer 2020,38,627,770,1
403,07-19-2020,Fall 2020,9,221,602,0
431,08-16-2020,Fall 2020,37,838,1426,0.8
435,08-20-2020,Fall 2020,41,899,1449,0.914285714285714
438,08-23-2020,Fall 2020,44,955,1449,1
671,04-13-2021,Spring 2021,2,18,135,0
677,04-19-2021,Spring 2021,8,22,371,0.115384615384615
681,04-23-2021,Spring 2021,12,22,484,0.192307692307692
705,05-17-2021,Spring 2021,36,82,1417,0.653846153846154
708,05-20-2021,Spring 2021,39,119,1417,0.711538461538462
715,05-27-2021,Spring 2021,46,242,1580,0.846153846153846
723,06-04-2021,Spring 2021,54,288,2125,1
740,06-21-2021,Summer 2021,4,71,252,0
743,06-24-2021,Summer 2021,7,103,489,0.09375
749,06-30-2021,Summer 2021,13,253,792,0.28125
756,07-07-2021,Summer 2021,20,377,1184,0.5
762,07-13-2021,Summer 2021,26,492,1873,0.6875
764,07-15-2021,Summer 2021,28,538,2132,0.75
768,07-19-2021,Summer 2021,32,620,2280,0.875
772,07-23-2021,Summer 2021,36,684,2338,1
786,08-06-2021,Fall 2021,10,157,374,0
790,08-10-2021,Fall 2021,14,249,466,0.19047619047619
800,08-20-2021,Fall 2021,24,461,1602,0.666666666666667
804,08-24-2021,Fall 2021,28,553,1630,0.857142857142857
807,08-27-2021,Fall 2021,31,629,1630,1
